no,comment,Judul Video,Label (Ridho)
241,enakan Kurikulum jaman dl. Buju paket bs di wariskan turun temurun,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 46",Kontra
242,hapus aja,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 47",Kontra
243,Segera hapuskan kurikulum merdeka pak mentri kembalikan ke KTSP saja.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 48",Kontra
244,SMG PA MENTRI PENDIDIKSN DIBERIKAN KEKUATAN dan KESEHATAN <br>KMI KEL. GURU  SNGAT BERHARAP KEMBALI KE   KTSP AAMIIN,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 49",Tidak Berhubungan
245,Masih yakin ganti menteri ganti kurikulum. Karena malu kalau gak ada program baru kalau hanya meneruskan program menteri lama. Siapa yang akan jadi kurban.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 50",Tidak Berhubungan
246,Kembalikan UN demi adab,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 51",Tidak Berhubungan
247,PMM sebaiknya dihapus saja,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 52",Kontra
248,Lebih baik di haapus kurikulum.merdeka  setuju,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 53",Kontra
249,Dah capek kami dgn kumer pak Mentri,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 54",Tidak Berhubungan
250,Setuju kurmer dihapus diganti dengan yg lebih baik kaya kurikulum th2 yg lalu❤,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 55",Kontra
251,Saya sebagai guru berharap.<br>Kurmed dihapus kembali ke kurikulum kebelakang.<br>Kalau merdeka belajar itu menurut saya.anak mau belajar mau nga juga bebas.karena gurunya sibuk ngisi ini itu,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 56",Kontra
252,Hapus sj,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 57",Kontra
253,Ojok berubah rubah to pak kasian murid guru wali murid,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 58",Tidak Berhubungan
254,Dihapus aja... Anak² gk bisa baca krna fokus ke buku cetak...,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 59",Kontra
255,Lebih baik di hapuskan kurikulum merdeka kembalikan kurikulum KTSP,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 60",Kontra
256,"Saya sebagai masyarakat, mengenai pendidikan kalo bisa, yang sering kali kita berdoa setiap waktu,robbana atinafitdunya khasanah wafil akhiroti khasanah wakina adhabbannar <br>Akhirnya apa,,,?<br>Didunia juga berhasil intelektual, teknologi maju di segala bidang tapi yang taat kepada agama, <br>Jadi tidak sia sia hidup punya tujuan jelas, buat apa pinter tapi gak ngerti tujuan hidup yang sebenarnya hidup,<br>Jangan sampai manusia sama dengan kaya hewan, manusia adalah makhluk paling sempurna bila bisa mengunakan akal nya, tapi apa bila tidak bisa mengunakan akal nya,ya otomatis lebih jelek daripada hewan, maka dari itu pak menteri ini sekedar masukan kalo ada yang salah ya jangan di ikutin atau di pakek, yang jelas tujuannya negara jadi negara yang baldatoon tayibaton warobbun ngoffur Aamiin terus berjuang demi terciptanya kebenaran dan keadilan 👃👍","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 61",Tidak Berhubungan
257,Yang belum dapat impasing di urusi arep pensiun rumah masih ngontrak pak boooos,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 62",Tidak Berhubungan
258,HANCURKAN &amp; RATAKAN DG TANAH KAMPUS- KAMPUS YG BIKIN RESAH MASYARAKAT DG MAHASEWA YG TIDAK PUNYA SOPAN SANTUN AROGAN UGAL- UGALAN BENGIS BRINGAAS BRUTAAL ‼️‼️,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 63",Tidak Berhubungan
259,T U T U P  KAMPUS YG BIKIN RESAH MASYARAKAT !!!!<br>MAHASEWA PREMAN YG SANGAAT KURANG AJAR TIDAK PUNYA SOPAN SANTUN UGAL- UGALAN AROGAN  BENGIS BRINGAAS BRUTAAAL ... <br>BUKA &quot;VIDIO&quot; DEMO MAHASEWA DI TASIKMALAYA ‼️‼️<br>MAHASEWA DEMO DG  MOTOR NGEBRONG BLEYER- BLEYER PERSIS DI MUKA JAJARAN POLWAN <br>👎👎👎👎👎👎👎‼️<br>KLO AKU YG JADI POLWAN LANGSUNG TAK TENDANG MUKANYA PAKAI SEPATU JENGGEL<br>ATAU DG MELEPASKAN ANJING- ANJING HERDER !!!!,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 64",Tidak Berhubungan
260,PENDIDIKAN SUKSES<br>KURIKULUM SEDERHANA PRAKTIS TIDAK BERTELE TELE MUDAH DIFAHAMI DIHAYATI OLEH SISWA<br>BIKIN SISWA BETAH BELAJAR DI SEKOLAH !!!,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 65",Pro
261,"BERI SANKSI ‼️‼️<br>PD REKTOR DOSEN MAHASEWA TUKANG DEMO POLITIK BUSUUK SESAT &amp; MENYESATKAN RAKYAT !!!! <br>KAMPUS SARANGNYA MANUSIA- MANUSIA MUNAFIK PENGECUT &amp; PECUNDANG <br>BERILMU TAPI TIDAK PUNYA ADAB SOPAN SANTUN, TIDAK BERMORAL &amp; TIDAK BERAKHLAK !!!<br>KAMPUS TIDAK MEMBERIKAN CONTOH YG BAIK PD MASYARAKAT !!!","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 66",Tidak Berhubungan
262,Kurikulum yg ada aja udh bikin pusing padahal udh 2-3 tahun... Mau diubah lagi tambah pusing 😂😂😂😂,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 67",Kontra
263,"KEMEROSOTAN MORAL 👎👎👎👎‼️<br>DEMOKRASI YG KEBABLASAN<br>BUDAYA MENCACI MENGHINA MEMFITNAH, MENGHASUT, MENGADU DOMBA MENYERANG MENJATUHKAN !!!!! <br>KEMBALIKAN MATA PELAJARAN &quot;PMP&quot; PENDIDIKAN MORAL PANCASILA &amp; P4 LENGKAP DG BUTIR- BUTIR PANCASILA !!!!!","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 68",Kontra
264,"BUBARKAN <br>&quot; B E M &quot; BIKIN RESAH MASYARAKAT TIAP HARI DEMO BIKIN ONAR, BIKIN RUSUH BENGIS BRINGAAS BRUTAAAL ...","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 69",Tidak Berhubungan
265,KURIKULUM YG BERTELE TELE <br>SANGAAT RIBET &amp; RUWET ... BIKIN STREES 😇😇😇😇‼️<br>GURU STREES 😇🔥<br>MURID STREES PARAAH 😭💥‼️<br>ORANG TUA EMOSI 👺🔥💥‼️,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 70",Kontra
266,Pendidikan Akhlaq dan budi pekerti<br>Musti ada......<br>Di sekolah....<br><br>Dah hapalan juga harus ada,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 71",Tidak Berhubungan
267,Hapus kumer nadem dan sekolah penggerak yg menghaburkan uang negara tanpa hasil yg nyata hapus aplikasi yg mungkin menguntungkan satu pihak saja dari aplikasi.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 72",Kontra
268,Dengan kurikulum meedeka anak didik bertambah bidoh bodoh.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 73",Kontra
269,"Kurikulum merdeka di ganti dengan kurikulum K13 atau KTSP dan harus ada ujian Nasional/ UN,jika anak yang tidak mampu jangan paksa di naikan, makasih","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 74",Kontra
270,Ciri&quot; pki.: pelemahan agama.dan hukum.intusi birokrasi.penghpusansejarah bangsa.dan pancasila.kodisi skrg lihat di era jkw.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 75",Tidak Berhubungan
271,Kembalikan kpd penddikan kbangsaan kita.kna kita bangsa besar.pddikan aklaq dan budipekerti.jgn dhpus.yg dhpus tu fulldy.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 76",Kontra
272,"Sdh biasa ganti menteri ganti kurikulum,","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 77",Tidak Berhubungan
273,Kembalikan pendidikan seperti thn 1990,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 78",Kontra
274,"Semoga tetap seperti dulu...yaa mosok, banyak banget tiktokers pada uji anak2 sekolah pada gak tau mana ibukota provinsi","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 79",Tidak Berhubungan
275,"kutikulum merdeka ,menyadur dari firlandia, dilihat dari jumlah pendd dan  SDM berbeda.<br>seakan akan anak tifak ada yg &#39; tidak &quot; naik dan &quot; tidak,&quot; lulus...semuanya naik kelas dan lulus semua","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 80",Kontra
276,Ya kurikulum sekarang bikin bodoh anak2,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 81",Kontra
277,"Dengan semua kelemahan kutikulum merdeka, ada banyak hal yang jauh lebuh penting untuk dibenahi. Jumlah kursi sekolah negeri masih kurang. Banyak jam kosong di sekolah. Toilet di sekolah banyak yang jorok, menunjukkan bobroknya manajemen sekolah.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 82",Kontra
278,"Sebelum menerapkan kurikulum pendidikan baru, infrastruktur harus diasiapkan terlebih dahulu dan SDM pengajarnya harus dimatangkan terlebih dahulu supaya siap menerapkan mengeksekusi kurikulum pengajaran dg baik.<br><br>Sebaiknya mentri pendidikan itu ada dua, yakni mentri pendidikan dasar dan mentri pendidikan sekolah menengah. Untuk level perguruan tinggi, langsung di bawah mentri riset dan teknologi.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 83",Kontra
279,Ktsp aja pak mentri kurikulunya,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 84",Kontra
280,Mudah mudahan di hapuss,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 85",Kontra
281,"Program PISA OECD sebaiknya dilanjutkan lagi Pak Menteri.<br>Menurut teman-teman Jepang &amp; Korea, melalui program tersebut si anak akan mampu mengukur kreativitasnya.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 86",Pro
282,😂😂😂😂😂😂,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 87",Tidak Berhubungan
283,Pembodohan melalui kurikulum itu bukan Mentri itu penjahat mesti nya di,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 88",Kontra
284,"Selama gak ada keseriusan mengurusi kualitas SDM melalui pendidikan, selama itu pula pendidikan Indonesia masih akan kacau balau dan hasil SDMnya kualitasnya terjun bebas terus. Keseriusan bukan hanya soal kurikulum saja, selama guru gak disejahterakan dan terus dijadikan korban ya bakal terus hancur negara ini.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 89",Tidak Berhubungan
285,"Benar pak, buku siswa skrg tak lebih dari sekedar proyek saja yang ujung ujungnya bagi bagi kue yang jadi santapan rekanan.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 90",Tidak Berhubungan
286,"Siapapun &amp; apapun &quot;Ahli &quot; psti sgl hal (kptusan/kbijakan/nasehat/karya) yg terbaik mngarah pd ke &quot;ahli&quot;. anya. Slm pemegang tongkat mmg ahli dbidangnya mk arah mnuju jalan ke &quot;ROMA&quot; mnuju jln yg benar. Mau hsilnya mulai 0,1 s.d 99,9%. Wlaupun hny skdar berpndapat, walaupun dlm pngruh politik sklipun. Bgtupun sBaliknya. Jika pmegang tongkat BUKAN AHLInya...kt smua tau....adakah hrpan dr org yg tdk tau akn bidangnya. T.ksh. profesor...smg niatmu dr awal, brhrp pnddkn Indonesia lbh maju mnjd kbrkhan bg prbdi, klg msyrkt&amp; bngsa trcinta ini. Slm.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 91",Tidak Berhubungan
287,"Kita selalu melihat carut marut kurikulum kita dari segi guru dan siswa.Tolong lihat dari sisi orangtua siswa,adakah kerjasamanya dg guru dalam mendidik siswa tsb","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 92",Tidak Berhubungan
288,Menteri lama tentu cuwek karena berhasil punya program dan programberduwet,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 93",Tidak Berhubungan
289,"Di zaman orde baru,,pendidikan Indonesia cukup bagus.    Wibawa guru sangat tinggi.  Para pelajar / mahasiswa sangat serius dalam belajar  dan sopan santunnya sangat tinggi. Sekarang   ,zaman makin maju ,tapi   moral para pelajar / mahasiswa pada bobrok","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 94",Kontra
290,Hallo yg bikin konten apa sudah dicek bilang nggak ada sekolah gratis di dunia. Klu omong jgn asal ini diliat seluruh Indonesia bahkan dunia  inilah tukang gedrabus,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 95",Tidak Berhubungan
291,"Kurikulum merdeka adalah kurikulum yang gagal. Tapi ini bukan karena esensi atau arah utama dari kurikulum ini. Kegagalan ini karena beberapa faktor:<br>1. Ketidaksinkronan pemikiran diatas/pusat dengan jajaran dibawah bawahnya<br>2. Manajemen yang masih kacau, sehingga kepentok masalah masalah seperti kesejahteraan guru dll.<br>3. Masyarakat dan guru sendiri masih kental dengan gaya belajar lama, sehingga tidak ngerti seberapa urgentnya kita berubah cara belajar. Dan dalam prakteknya masih banyak diterapkan gaya lama, atau salah kaprah terhadap gaya belajar baru. <br>4. Tidak semua sekolah siap dengan gaya belajar baru, terutama karena faktor pendidik yang tidak berkompeten/tidak memahami filosofi pendidikan yang baru. <br><br>Yang lama itu guru transfer pengetahuan, siswa menerima, lalu diujikan seberapa banyak oengetahuan yang terserap. Yang baru, guru menjadi fasilitator belajar siswa, kemudian ada asesmen asesmen baik formatif maupun sumatif untuk melihat kesuksesan belajar, dan asesmen ini tidak hanya melalui standardised tests. <br><br>5. Simpang siur administrasi, yang tadinya juga konon akan sangat diaederhanakan, pada praktekknya dibelokkan lagi menjadi seabreg cuma ganti nama. Masih banyak birokrasi yang tidak perlu. <br><br>Dan mungkin masih banyak hal lain yang menjadi faktor, cuma hal hal diatas sepertinya adalah yang paling utama.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 96",Kontra
292,guru ya mengajar. riset ya dosen. kenapa kami guru dapat beban riset. Dzalim itu,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 97",Kontra
293,"Nadiem dan DPR harus bertanggung jawab Krn telah membodohkan generasi bangsa , kembali ke kurikulum lama yg sudah terbukti nyata mencetak generasi bangsa yg cerdas, berjiwa nasionalis, berakhlak mulia","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 98",Kontra
294,Kembalikan buku teks seperti dulu.. SD mulai  belajar baca dengan INI BUDI.. dst.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 99",Kontra
295,ini pembicaraan daging semua isinya.... boom! mindblowing... terimakasih untuk pencerahannya prof!,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 100",Tidak Berhubungan
296,"Guru dan kepsek pusing menghadapi sistem kurikulum merdeka,bgtu banyak admin yg harus dilaporkan ,kapan kami bisa mengajar dengan baik dan serius","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 101",Kontra
297,Saya termasuk yg tdk mendukung adanya UN.<br>Alasan nya:<br>1. Tidak ada gunanya. Karena lulusan SMA mau perguruan tinggi harus tes lg.<br>2. Tingkat kejujuran pelaksanaan UN tidak bisa dipercaya.,"Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 102",Kontra
298,"Kalau pendidikan di Indonesia kearah yang lebih baik menurut saya ada beberapa hal yang jadi perhatikan:<br>1. Semua Guru ikut pelatihan wajib meliter, karena nilai wawasan kebangsaannya sudah menurun.<br>2. Kesejahteraan guru ditingkatkan sehingga guru fokusnya mendidik dan mengajar.<br>3. Harus dibuat kurikulum permanen yg diundangkan sehingga setiap ganti menteri tidak ganti kurikulum.<br>4. Pendidikan tidak dipolitisasi, artinya kontrol tidak ditingkat provinsi/kabupaten tapi melalui lembaga penjamin mutu pendidikan.<br>5. Penggabungan sekolah2 terdekat.","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 103",Tidak Berhubungan
299,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>","Menteri Pendidikan Baru, Apakah Kurikulum Merdeka Akan Dihapus? | Liputan 104",Tidak Berhubungan
300,"Sekolah skrg gak jelas patokan nilai/kualitasnya krn masing2 sekolah punya patokan sendiri. Guru2 cenderung bermain aman dgn memberikan kualitas soal tes/ujian yg mudah khawatir ada murid yg ga naik kelas krn mengejar target nilai sekolah dan dapat teguran pihak sekolah... Piye to ini pendidikan skrg ini, ngenes jadinya... ?",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
301,Bos berperan menjadikan anak-anak bodoh,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
302,Proses pembelajaran kuncinya ada ditangan GURU. klu GURU sejahtera dan berkualitas serta bermoral maka apapun merk kurikulumnya akan berjalan sesuai harapan.,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
303,"Merdeka belajar sangat bagus implementasinya yg kurang maksimal. Masalahnya kualitas sdm rendah bukan kurikulum atau programnya yg kurang baik.<br>Benahi akhlak anak bangsa, akhlak elit politik,  elit bangsa. Insyaa Allah korupsi dan maling duit rakyat berkurang.",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Pro
304,"Tidak mudah membangun sistem pendidikan. Cb yg ngomong ini  jadiin menteri deh, memble jg ntar.<br><br>😂",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
305,"Mohon maap ya Pak, saya selama S1 jadi asisten dosen 2 tahun, S2 jadi asisten selama 1 tahun. Di kampus2 kami pas mahasiwas jadi asisten kok ada SK nya malah. Jangan klaim bahwa kampus2 ga memberdayakan mahasiswa tingkat akhir. Juga, adanya mata kuliah dasar 1,2 seperti mata kuliah pengulangan hanya untuk tingkat satu dan tujuannya untuk pemerataan kompetensi sebelum masuk ke pembelajaran yang lebih rumit. Misalnya ada Kalkulus 1-2 di tingkat 1 untuk mempersiapkan matakuliah seperti Mekanika Fluida. Ga bisa tuh kucuk-kucuk langusung ke Mekanika Fluida atau ke matakuliah kuantitaif lainnya. Terus juga kenaikan UKT itu karena adanya pengurangan % anggaran nasional ke PTN dan dialihkan untuk sekolah-sekolah kedinasan, bukan karena kelebihan Dosen atau kelebihan mata kuliah.",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
306,"Di tk anak dikenalkan angka, huruf dan suku kata karna ga boleh maksa anak buat bisa baca tapi pas di sd pelajarannya udh harus anak bisa baca 😂",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
307,Sistem pendidikan harus di rubah.Harus ada kurikulum yang bisa buat anak tamat SMA sudah harus bisa cari uang sendiri. Buka usaha sendiri.,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
308,"Ada kesalahan pendidikan meniru ala barat boleh tapi di sesuaikan dgn kondisi NKRI.....yg dulu baik sebelum kurikulum ini dikita lanjutkn, dihapus itu tdk bijak. Permudah warga dlm pendidikan &amp; luruskan utk bagus. Jika jonasi bagus tapi tes bagus bisa padukan &amp; atasi dampak buruknya bkn termagu dgn hanya nunggu takdir.",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
309,"Kurikulum merdeka, kurikulum gak jelas",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
310,Saya sebagai guru berharap ada revolusi pendidikan yang membawa perubahan yang signifikan buat guru dan siswa siswinya di mulai dari yang sederhana yaitu buku paket mengajar mendidik dan membina disemua lini mapel yang memiliki sifat kontinuitas dan simultan.,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
311,Bener bgt pak. Guru dibebankan dengan teori tp tidak diberi kesempatan lebih untuk praktik di lapangan😢,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
312,saya kira kurikulum merdeka dan sistem zonasi ini kyk kurikulum dan aturan pesanan kyk jaman rockefeller.. mendidik masyarakat hanya akan di jadikan buruh..,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
313,"Kami sbg masyarakat berharap bnget ,untuk segera kurikulum merdeka ditinggalkan, aq setuju bngt dng komen2 saudara2, dan mata pelajaran yg di hapus musalkan untuk kecintaan negeri harus di tumbuhkan di hati anak2 bangsa,jg zonasi sngt merugikan ,kurikulum merdeka tdk mencerdaskan,tolonglah di carikan solusinya",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
314,Jangan bicara tentang kurikulum siapaun anda pasti salh dan benar karena seperti bicara pertanian di pola tanam yang sangat detail sekali tapi tanahnya tandus nggak ada air irigasi bijakah kita diskusi tentang pola tanam begitu juga di pendidikan gota ganti kurikulum mbok kita jiplak saja cina yang tehnologi nya maju pesat yang berangkatnya membangun sebaya dengan kita tapi kita ketinggalan sangat jauh 60 persen mahasiswa berprestasi di usa itu dari cina tehnologi dari digital sampe kontruksi juga terdepan la kita cuma pupu papa saja di angkat di dpr kok kalian coba bicara idialisme sebuah keadan apa dasarnya yang penting anak didik itu bisa baca tulis dab berhitung itu saja emang kalian propesor tau apa tentang pendidikan tentang budaya adat dan adab falsafah kita semua ini slah kaprah mental kiata sudah takut sama kualat takut neraka takut nggak masuk surga orientasi segala2nya agama jadi baiknya kurikulum kita itu meniru saja di pesantren             apapun hasil pendidikan kita sama saja para propesor juga demo juga mengumpat bajingan juga menebar kebencian juga berjidat tebal berdakwah maka terbaik jiplak cina ato pesantren,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
315,Buku sebelum dilempar ke konsumen wajib diteliti dan diserujui oleh inspektorat Jenderal Kementrian .. Bagaimana hal ini jisa diwujudkan ??? ..,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
316,MEMILIH MENTERI HARUS ORANG CERDAS BUKAN ASALBOS SENANG.SELAMA NADIN  MAKARIM MENJADI MENDKBUD KAMI YANG TIDAK SEKOLAH MERASAKAN HANCURNYA PENDIDIKAN DINEGERI INI..MISAL<br>MERDEKA BELAJAR  TIDAK ATURAN ANAK DIDIK MEMBOLAK BALIKKAN MENJADI MERDEKA TIDAK BELAJAR SELAMAH NADIEN MENDIKBUD PERESTASI MURID SD SISWA MENURUN SIGNIFIKAN KURANGNYA ANAK <br>DIDIK BERPRESTASI,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
317,Saya guru &amp; saya setuju sekali adanya review buku,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
318,BIAYA PENDIKAN  DRI PEM.TRILIUNAN  KOK  MIRIS LIHAT  PND.DI INDO. GK SAMPEK MENYENTUH DAERAH PEDALAMAN SANGAT MEMPRIHATINKAN .<br>MAKANYA KURUPTOR  DI HUKUM MATI KAYA CINA TANPA GRASI. INSALLOH JERA KLO  MENANTANG KONSEKWENSINYA  HARUS MATI  ITU SAJA .KEJAHATAN KURUPSI DI INDO  SANGAT MEMPRIHATINKAN  UU HARUS DIRUBAH   MESKIPUN NEGARA HUKUM  .PRESUDEN HARUS TEGAS .KLO PIDATO JANGAN BER API  &quot; SAJA HARUS ADA TINDAKAN  NYATA APA YG DI BICARAKAN   LEBIH BAIK GAK BANYAK BICARA  TAPI KERJA NYATA ADA WUJUDNYA  INI PRABOWO TNGGAL MELANJUTKAN  SAJA .,DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Tidak Berhubungan
319,"Sya sebagai guru juga merasa ini kurikulum cum ajang keren-kerennan nama saja,isi buku/LKS yg secra materi TDK lengkap,trkdng prtnyaan soal jwbanya TDK ada di buku.klw hal ini trjdi dikota okelah bisa cari diinternet.tapi bagi yg di pelosok yg jauh dari pnggnaan internet?selain itu,buku LKS yg isi sama sampulnya yg diganti dari tahun ke tahun jdi kesannya bukunya ganti tiap tahun🤗🤭kurikulum yg lebih ruwet dgn administrasi yg dibebankan guru dan siswa.jujur sya lebih suka kurikulum CBSA,KBK,ataw KTSP..tapi semua kembali kpd sistem.",DPR dan Menteri Nadiem Cuek Atas Kurikulum Membodohkan Siswa! : AHMAD BAIDHOWI (AHLI PENDIDIKAN),Kontra
